Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
Bike hire is available at the property and the area is popular for cycling.	Гостям предоставляется услуга проката велосипедов. Этот район пользуется популярностью у любителей велосипедных прогулок.
A bus stop is 2 km from the property and the Sovata Train Station is 4 km away.	В 2 км находится автобусная остановка, а в 4 км - железнодорожный вокзал Соваты.
You can also order breakfast which will be delivered to the apartment.	Вы также сможете заказать завтрак, который будет доставлен в апартаменты.
This timber-framed hotel is situated in the immediate vicinity of Celle’s pedestrian area and old quarter, only 500 metres from the historic town hall.	Этот отель находится в фахверковом здании всего в 500 метрах от старинной ратуши города Целле в непосредственной близости от пешеходной зоны и исторического квартала.
Located 2 km from the centre of Neustift in the Stubai Valley, Landhaus Auen offers spacious apartments with a balcony overlooking the Stubai Alps.	Комплекс Landhaus Auen находится в 2 км от центра города Нойштифт-им- Штубай. С балкона просторных апартаментов открывается вид на горный хребет Штубайские Альпы.
The nearest tram stop is just 1.5 km away.	Ближайшая трамвайная остановка находится в 1,5 км от отеля.
During summer, meals can be enjoyed on the outdoor terrace.	Летом можно поужинать на открытой террасе.
Dining can be enjoyed in the Výpřež restaurant 300 metres way.	В пределах 300 метров от отеля работает ресторан Výpřež.
This country house is 47 miles from London Heathrow Airport and 38 miles from London Gatwick Airport.	Расстояние от загородного дома до лондонского аэропорта Хитроу составляет 75,2 км, а до лондонского аэропорта Гатвик — 60,8 км.
Résidence les Balcons du Soleil offers accommodation located in Peyragudes ski resort just 500 metres from the ski slopes with Col de Peyresourde just 1.9 km away.	Комплекс апартаментов Résidence les Balcons du Soleil расположен на горнолыжном курорте Перагюд, всего в 500 метрах от лыжных склонов и в 1,9 км от курорта Перагюд-Перзурд.
They come with a seating area, a flat-screen TV with satellite channels and a minibar.	В числе удобств гостиная зона, мини-бар и телевизор с плоским экраном и каналами спутникового телевидения.
The billiard table is available upon request.	Бильярдный стол предоставляется по запросу.
The hotel is 7 km from Freising and the Weihenstephan brewery.	В 7 км от отеля находятся город Фрайзинг и пивоварня Weihenstephan.
The property is 500 metres from River Negro.	В 500 метрах от отеля протекает река Негро.
The rustic restaurant offers Swabian specialities and international dishes with high-quality seasonal and game ingredients when they are available.	В ресторане отеля, оформленном в загородном стиле, гостям предложат блюда швабской и интернациональной кухни, приготовленные из высококачественных сезонных продуктов, а также при наличии - из дичи.
A flat-screen TV is offered.	Также установлен телевизор с плоским экраном.
Angelic Apartments is set a 10-minute walk from the historic centre of Dubrovnik and 250 metres from Banje, the town’s most popular beach.	Апартаменты Angelic находятся в 10 минутах ходьбы от исторического центра Дубровника и в 250 метрах от Бане - самого популярного пляжа города.
Shower facilities are included in an en suite bathroom.	В собственной ванной комнате установлен душ.
All accommodation at Trianon feature a warm and elegant décor.	Все номера отеля Trianon оформлены в элегантном стиле и теплых тонах.
La Suite du Marché aux Fleurs offers self-catering accommodation in Montpellier historical centre.	Апартаменты La Suite du Marché aux Fleurs находятся в историческом центре Монпелье.
Located in Florence, Ariento offers self-catering accommodation with free WiFi. The apartment is 400 metres from Santa Maria Novella.	Апартаменты Ariento с собственной кухней расположены во Флоренции, в 400 м от базилики Санта-Мария-Новелла. К услугам гостей бесплатный Wi-Fi.
The property includes a garden, a hot tub and BBQ facilities, as well as, free parking and free WiFi.	К услугам гостей собственная кухня, сад, гидромассажная ванна, принадлежности для барбекю, бесплатная парковка и бесплатный WiFi.
The bright and modern apartment offers a balcony, a seating and dining area with TV and a fully equipped kitchen with stove, microwave and a refrigerator.	Эти светлые и современные апартаменты располагают балконом, гостиной и обеденной зоной с телевизором и полностью оборудованной кухней с плитой, микроволновой печью и холодильником.
Tel Aviv Ben-Gurion Airport is a one-hour drive away.	Аэропорт Тель-Авива Бен-Гурион расположен в часе езды на автомобиле.
Set on a hill and surrounded by olive groves, B&B Villa Ghiselli offers beautiful views of Bassano del Grappa 5 km away.	Отель типа "постель и завтрак" Villa Ghiselli находится на холме, в окружении оливковых рощ, а из его окон открывается прекрасный вид на Бассано-дель-Граппу, в 5 км от отеля.
Guests can benefit from a gym and sauna.	В отеле работает тренажерный зал и сауна.
The Aparthotel Senator Barcelona is situated on Via Augusta, in a pleasant residential area, a 2-minute walk from Muntaner Train Station.	Апарт-отель Senator Barcelona расположен на улице Виа-Аугуста, в приятном жилом районе, в 2 минутах ходьбы от железнодорожного вокзала Мунтанер.
This property provides you with handy access to the nearby Madrid Barajas Airport, the motorway network and the city centre via line 1 of the metro.	От отеля вы можете легко добраться до аэропорта Мадрида Barajas, сети автомагистралей, центра города по 1 линии метро.
Post 8 - Ipanema is 1.6 km from Apartamento Domingos copacabana, while Post 9 - Ipanema is 2 km from the property.	Апартаменты Domingos copacabana находятся в 1,6 км от поста No8 на пляже Ипанема и в 2 км от поста No9 на пляже Ипанема.
The accommodation will provide you with a terrace, a seating area and a CD player.	К услугам гостей терраса, гостиная зона и CD-плеер.
Apartmani Emilijana is a self-catering accommodation located in Zadar.	Апартаменты Emilijana с собственной кухней находятся в городе Задар.
Each day, a freshly prepared breakfast can be enjoyed in the bright breakfast room.	Ежедневно для гостей сервируют свежеприготовленный завтрак в светлом зале для завтрака.
Hostal Luz de Luna Nuyoo offers accommodation in Oaxaca City.	Гостевой дом Luz de Luna Nuyoo расположен в городе Оахака-де-Хуарес.
It offers an outdoor pool and free WiFi access in all public areas.	К услугам гостей открытый бассейн и бесплатный Wi-Fi в местах общего пользования.
Lisbon’s city centre is 45 minutes by car and has historical areas such as Chiado, Bairro Alto and Alfama for guests to visit.	Поездка на автомобиле до центра Лиссабона, где гости могут посетить такие исторические районы, как Шиаду, Байрру-Алту и Алфама, займет 45 минут.
It features a garden with a heated outdoor swimming pool and a furnished terrace.	К услугам гостей сад с открытым бассейном с подогревом и меблированная терраса.
This dog-friendly property offers a free outdoor pool, BBQ facilities and self-catering accommodation with a patio.	К услугам гостей бесплатный открытый бассейн, приспособления для барбекю и апартаменты с кухней и патио, в которых разрешено размещение с собаками.
Bed linen is featured.	Предоставляется постельное белье.
At Ramcons Residency Majorda you will find a garden and a terrace.	Гости комплекса Ramcons Residency Majorda могут отдохнуть в саду и на террасе.
A free heated ski room is available directly next to the slopes	По соседству с горнолыжными склонами обустроено отапливаемое помещение для хранения лыж, которым можно воспользоваться бесплатно.
Bus stop Amstelplein is 500 metres away and offers direct links to Amsterdam Central Station, Leidse Square and Amstelveen.	В 500 метрах находится автобусная остановка Amstelplein, от которой можно без пересадок добраться до центрального вокзала Амстердама, площади Лейдсеплейн и города Амстелвен.
Every room, studio and suite is equipped with a flat-screen cable TV, safe, minibar and an electric kettle.	В каждом номере, номере-студио и люксе есть телевизор с плоским экраном и кабельными каналами, сейф, мини-бар и электрический чайник.
Potos is 18 km from Meltemi Villa.	Поселок Потос находится в 18 км от комплекса Meltemi Villa.
The suite features 2 bedrooms and a private bathroom. Extras include free toiletries and a hair dryer.	В люксе с 2 спальнями и собственной ванной комнатой предоставляются бесплатные туалетно-косметические принадлежности и фен.
Surrounded by lush gardens, right on the beach of Argassi, the beachfront Zakantha Beach features a swimming pool and poolside snack bar.	Отель Zakantha Beach, окруженный пышным садом, расположен прямо на пляже Аргасси. К услугам гостей бассейн и снэк-бар.
A disc golf course is located right opposite Kullasmarina Villas.	Поле для диск-гольфа находится прямо напротив комплекса Kullasmarina.
Each room features either garden or street view.	Из каждого номера открывается вид на сад или улицу.
An array of activities can be enjoyed on site or in the surroundings, including a water park.	На территории и в окрестностях можно заняться различными видами активного отдыха, а также посетить аквапарк.
Cabañas la Villa del Montañes is 1.5 km from the city centre and the bus terminal.	Комплекс Cabañas la Villa del Montañes находится в 1,5 км от центра города и автовокзала.
The staff may help with arrangements to take a tour to watch the whales when season.	В сезон сотрудники отеля помогут вам организовать поездки для наблюдения за китами.
Guests wishing to explore Casa de Esteiro can use one of the available bicycles and afterwards relax in one of the poolside sun loungers.	Для знакомства с окружающей местности в комплексе Casa de Esteiro предоставляются напрокат велосипеды. После прогулки здесь приятно отдохнуть в шезлонгах у бассейна.
The apartment features a seating area, private bathroom, cable TV and a fully equipped kitchen. Sea views can be enjoyed from here.	Апартаменты с видом на море располагают гостиной зоной, собственной ванной комнатой, телевизором с кабельными каналами и полностью оборудованной кухней.
There are sign-posted cycle routes and a reservoir in Podhájí, just 4 km away.	В 4 км от отеля проходят велосипедные маршруты с указателями и расположено водохранилище в деревне Подгаи.
The bright accommodation at Al Manzel Al Hadea is marble-floored and includes a living area with a flat-screen satellite TV.	В светлых апартаментах апарт-отеля Al Manzel Al Hadea уложен мраморный пол. В гостиной зоне установлен телевизор с плоским экраном, транслирующим спутниковые каналы.
Located in Villié-Morgon, in the heart of Beaujolais, Gîte le Chêne du Py offers self-catering accommodation featuring a garden and a terrace.	Дом для отпуска Gîte le Chêne du Py с собственной кухней, садом и террасой находится в городе Вилле-Моргон, в самом сердце региона Божоле.
Numerous bars, restaurants as well as supermarkets can be found within 5 minutes’ walk.	За 5 минут можно дойти до многочисленных баров, ресторанов и супермаркетов.
The 2 private swimming beaches at the lake can be used free of charge by all guests.	Гости могут бесплатно загорать и купаться на 2 частных пляжах на берегу озера.
Equipped with a shower, private bathroom includes free toiletries.	В распоряжении гостей собственная ванная комната с с душем и бесплатными туалетно-косметическими принадлежностями.
Guests benefit from free WiFi, and a hairdryer is provided.	В распоряжении гостей бесплатный Wi-Fi и фен.
Guests can enjoy the on-site bar.	В гостевом доме открыт бар.
Bedrooms feature high-quality beds with Egyptian cotton bed linen, and are complemented by a bathroom with bath or shower, towels, bathrobes and toiletries.	В спальнях установлены высококачественные кровати с постельным бельем из египетского хлопка. К услугам гостей ванная комната с ванной или душем, полотенцами, халатами и туалетно-косметическими принадлежностями.
Guests at the Cal Expo Motel 6 can easily spend the day at Raging Waters water park.	Гости мотеля Cal Expo 6 могут провести прекрасный день в аквапарке «Рейджинг-Уотерс».
Private parking is free.	Парковка предоставляется бесплатно.
A washing machine and dryer are also available for use.	Кроме того, гости могут воспользоваться стиральной машиной и сушилкой.
Vigo and Pontevedra can be reached in around an hour.	По ней можно доехать до города Оренсе примерно за 30 минут, а до городов Виго и Понтеведра — примерно за 1 час.
With a balcony overlooking the sea, the apartment includes a fully equipped kitchen, dining area and living room with a flat-screen satellite TV.	Во всех апартаментах в распоряжении гостей балкон с видом на море, полностью оборудованная кухня, обеденная зона и гостиная с телевизором с плоским экраном, транслирующим каналы спутникового телевидения.
Holders of a valid Hostelling International membership card pay less at Danhostel.	Владельцам действующих членских карточек Hostelling International (HI) предоставляется скидка.
Golfclub Zugspitze-Tirol Ehrwald-Lermoos is a 5-minute drive away.	Поездка до гольф-клуба Zugspitze-Tirol Ehrwald-Lermoos занимает 5 минут.
Located in the historic centre of Caltanissetta, Appartamento nel cuore della Sicilia offers self-catering accommodation with a private balcony.	Апартаменты Appartamento nel cuore della Sicilia находятся в историческом центре коммуны Кальтаниссетты. К услугам гостей собственная кухня и балкон.
Universal Studios Hollywood is 15 minutes' drive from the hotel.	Поездка до парка аттракционов Universal Studios Hollywood занимает 15 минут.
Featuring free WiFi and a barbecue, Hotel Georgi offers accommodation in Ureki, 41 km from Batumi.	Отель Georgi расположен в поселке Уреки, в 41 км от Батуми. К услугам гостей бесплатный Wi-Fi и принадлежности для барбекю.
It features a bar, a restaurant that serves breakfast, and on-site scuba diving facilities.	К услугам гостей бар, ресторан, где подают завтрак, а также удобства для дайвинга с аквалангом.
The en suite bathroom includes a hairdryer and free toiletries.	В каждой ванной комнате в номере предоставляются фен и бесплатные туалетно-косметические принадлежности.
Various styles of fully self-contained 2-Bedroom villas, cabins as well as powered and non-powered sites for caravans are provided.	Гостям предоставляются полностью автономные виллы с 2 спальнями, коттеджи и площадки для передвижных домов (с электроэнергией и без).
Featuring a private outdoor swimming pool with sun loungers, Casa Andalucia is located in Benajarafe. This property offers terraces, garden, and air-conditioned apartments and studios with free WiFi.	Апартаменты Casa Andalucia расположены в районе Бенахарафе. К услугам гостей собственный открытый бассейн с шезлонгами, террасы, сад, а также апартаменты и апартаменты-студио с кондиционером и бесплатным Wi-Fi.
The rooms have a flat-screen TV.	Номера оснащены телевизором с плоским экраном.
Located in the City Center at the Central Square, Linda's City Hostel is only 500 metres from the Main Train Station and the Bahnhofstrasse, Zürich’s main downtown street and shopping avenue.	Хостел Linda's City расположен на Центральной площади в сердце города, всего в 500 метрах от Главного железнодорожного вокзала и Банхофштрассе — основной торговой улицы Цюриха.
Both Preveza Town and the airport of Aktion can be reached within a 20-minute drive.	Поездка до города Превеза и аэропорта Актион занимает 20 минут.
Free WiFi is offered throughout the property.	На всей территории апартаментов работает бесплатный Wi-Fi.
Towels and bed linen are available at Apartment Teuta.	Гостям апартаментов Teuta предоставляются полотенца и постельное белье.
The hotel is located about 3 km from Ankleshwar Industries and 6 km from Panoli Industries.	Отель находится приблизительно в 3 км от индустриального парка Ankleshwar Industries и в 6 км от индустриального парка Panoli Industries.
Guests can relax on comfortable sofa or enjoy views of the sea or the forest from spacious balcony or terrace.	Гости могут отдохнуть на удобном диване и полюбоваться видом на море или лес с большого балкона или террасы.
Nearby leisure activities includes 12 islands boat tours, fishing tours and hiking.	В этой местности отличным вариантом проведения досуга станут лодочные экскурсии по 12 островам, рыболовные туры и прогулки.
The accommodation is air conditioned and comes with a hot tub.	К услугам гостей кондиционер и гидромассажная ванна.
In the surroundings you will find a golf course (9.5 km), a fishing opportunity (100 m), shops (1.1 km) and a restaurant (800 m).	В окрестностях находится поле для гольфа (9,5 км), магазины (1,1 км) и ресторан (800 м). В 100 метрах можно заняться рыбной ловлей.
For the convenience of those who drive, parking is free.	Для удобства водителей имеется бесплатная парковка.
Hotel Vysokii Bereg Park offers the perfect location for a romantic getaway in lovely, luxurious but classic surroundings.	Парк-отель «Высокий берег» прекрасно подходит для романтического отдыха в роскошной классической обстановке.
The Raley Field Stadium is also close by.	Также недалеко от отеля находится бейсбольный стадион "Рэйли-Филд".
The hotel offers a rooftop pool and bar with views of the city's Fashion District.	На крыше отеля находятся бассейн и бар с видом на Район моды.
Casa Vacanza Il Malandrone is 2 km from the Rosignano M. exit of the A12 motorway.	Комплекс Casa Vacanza Il Malandrone находится в 2 км от съезда «Росиньяно М.» с автострады A12.
At Kimalase Metsamaja you will find a sauna – available at extra charge and a garden with barbecue facilities for free.	Посещать сауну коттеджа Kimalase Metsamaja можно за дополнительную плату, а пользоваться принадлежностями для барбекю в саду - бесплатно.
Located in the heart of Sarlat-la-Canéda, La Maison des Poètes & Spa offers self-catering accommodation and a spa and wellness centre, as well as free Wi-Fi access.	Апарт-отель La Maison des Poètes & Spa расположен в самом сердце города Сарла-ла-Канеда, к услугам гостей апартаменты с собственной кухней, оздоровительный и спа-центр, а также бесплатный WiFi.
The modern rooms and apartments are equipped with bright wooden furniture.	Современные номера и апартаменты обставлены мебелью из светлого дерева.
Located in the Kaohsiung Municipality Region, Lion King Hotel offers cosy accommodation.	Отель бизнес-класса Lion King в японском стиле расположен в городе Гаосюн.
At Apartments Casa Vita you will find a garden and barbecue facilities.	На территории комплекса апартаментов Casa Vita разбит сад с площадкой для барбекю.
The Emerald Bay Golf Club is less than 15 miles away.	Менее чем в 24 км находится гольф-клуб Emerald Bay.
The University of British Columbia is 5 km from the Grey Point Guest House.	Университет Британской Колумбии находится в 5 км от гостевого дома Grey Point.
Bathrooms and toilets are shared with other guests.	Ванные комнаты и туалеты — общие.
Lokappart - Maine is a studio located in Paris, right next to Montparnasse Cemetery.	Апартаменты-студио Lokappart - Maine расположены в Париже, рядом с кладбищем Монпарнас.
Room service is available.	Осуществляется доставка еды и напитков в номер.
It is 100 metres from Furio Camillo Metro Station on line A, and a 5-minute walk from Roma Tuscolana Train Station, with links to Fiumicino Airport.	Апартаменты расположены в 100 метрах от станции метро Furio Camillo (линия А) и в 5 минутах ходьбы от железнодорожного вокзала Roma Tuscolana, откуда ходят поезда до аэропорта Фьюмичино.
Some rooms have a private bathroom.	В некоторых номерах есть собственная ванная комната.
Snowflake Chair is 5 km from The Westerman by Colorado Rocky Mountain Resorts, while QuickSilver Super6 is 5 km away.	Кресельный подъемник Сноуфлейк и подъемник Квиксилвер Супер6 находятся в 5 км от дома для отпуска Colorado Rocky Mountain Resorts.
Private bathrooms also come with a shower.	Собственные ванные комнаты оборудованы душем.
A paid public parking is available nearby.	Неподалеку обустроена платная общественная парковка.
The Makai Hale offers snacks and lunch adjacent to the main pool.	В кафе Makai Hale у главного бассейна можно заказать легкие закуски и пообедать.
Rooms at Terraza Sur Business Hotel feature air conditioning, heating, a safety deposit box and a cable TV.	К услугам гостей бизнес-отеля Terraza Sur номера с кондиционером, отоплением, сейфом и телевизором с кабельными каналами.
The UNESCO-listed rune stone site at Jelling is 8 km from the Institut. Givskud Zoo is less than a 10-minute drive away.	Город Еллинг, внесенный в список Всемирного наследия ЮНЕСКО, находится в 8 км от гостевого дома Institut, а поездка до зоопарка Гивскуд займет менее 10 минут.
Locarno is 56.4 km from Bella Omegna Apartments, while Passo del Sempione is 66 km from the property.	Апартаменты Bella Omegna находятся в 56,4 км от города Локарно и в 66 км от перевала Симплон.
You can enjoy city view.	Из окон открывается вид на город.
Set in the Vila Real region, the hotel is 23 km from Mirandela and 29 km from Chaves.	Отель находится в регионе Вила-Реал, в 23 км от города Миирандела и в 29 км от города Чавес.
Offering great-value rooms in the heart of Rome, Volturno House features rooms and dormitories with free Wi-Fi.	Гостей отеля Volturno House приглашают остановиться в отдельных и общих номерах в центре Рима с прекрасным соотношением цены и качества. В номерах предоставляется бесплатный Wi-Fi.
The private bathroom comes with a hairdryer.	В собственной ванной комнате есть фен.
Dry cleaning and ironing services are offered on request at an extra fee.	Услуги химчистки и гладильной предоставляются по запросу и за дополнительную плату.
Bed linen is offered.	Гостям предоставляется постельное белье.
Free private parking is available on site.	На территории обустроена бесплатная частная парковка.
Other facilities offered include a tour desk and luggage storage.	К услугам гостей экскурсионное бюро и камера хранения багажа.
Located 150 metres from Nou d’Octubre Metro Station, and a 15-minute metro ride from the centre of Valencia, Bioparc Apartment offers a private balcony and free WiFi.	Апартаменты Bioparc находятся в 150 метрах от станции метро Ноу d'Octubre и в 15 минутах езды на метро от центра Валенсии. К услугам гостей собственный балкон и бесплатный WiFi.
Sugarloaf Mountain is 4.7 km from the property.	Гора Сахарная голова находится в 4,7 км.
Traditional English pubs and European-style cafés with terraces can be found amongst the area’s beautiful townhouses.	В красивых таунхаусах расположены традиционные английские пабы и европейские кафе с террасами.
Other facilities offered at the property include a ticket service and a tour desk.	Также в распоряжении гостей туристическое бюро и билетная касса.
The UNESCO-protected Masada Ruins are 20 km away.	Находящиеся под охраной ЮНЕСКО руины Масада размещаются в 20 км от отеля.
There is a 24-hour front desk at the property.	Стойка регистрации работает круглосуточно.
Galeão International Airport is located 19 km away.	Расстояние до международного аэропорта Галеан составляет 19 км.
You can enjoy city view from the room.	Из окон открывается вид на город.
You can engage in various activities, such as horse riding and snorkelling.	Любители активного отдыха смогут заняться верховой ездой и сноркелингом.
There is a common living room with a DVD player and a seating area.	В общей гостиной с гостиной зоной установлен DVD-плеер.
The kitchen is fitted with a microwave and a fridge.	Кухня оборудована холодильником и микроволновой печью.
Its service staff can assist with laundry, luggage storage and ticketing services.	Обслуживающий персонал окажет помощь, если вам потребуются услуги прачечной, камеры хранения багажа и билетной кассы.
Apartment Aviakonstruktorov 2 is a self-catering accommodation located in Saint Petersburg, within a 10-minute walk of Komendantsky Prospekt Metro Station.	Апартаменты «Авиаконструкторов 2» находятся в Санкт-Петербурге, в 10 минутах ходьбы от станции метро «Комендантский проспект».
At Emmanuel Beach Resorts you will find a restaurant.	В курортном отеле Emmanuel Beach работает ресторан.
Hotel Venetsiya features free WiFi throughout the property.	Во всех зонах отеля «Венеция» работает бесплатный Wi-Fi.
There is room service at the property.	Осуществляется доставка еды и напитков в номер.
Set in a quiet location, a 15-minute walk from the city of Bludenz, the charming and cosy Chalet Alpentraum is decorated in a modern ranch-style with lots of wood.	Очаровательное и уютное шале Alpentraum расположено в тихом месте, в 15 минутах ходьбы от города Блуденц. Шале оформлено в современном стиле ранчо с элементами из дерева.
At Marigold Hostel you will find an airport shuttle, a 24-hour front desk and a garden.	В хостеле Marigold имеется сад и круглосуточная стойка регистрации. Для гостей организуется трансфер от/до аэропорта.
Hostal Almanzor offers air-conditioned rooms with balconies and cable TV. Each room also has a private bathroom.	В числе удобств номеров гостевого дома Almanzor — кондиционер, балкон, кабельное телевидение и собственная ванная комната.
All accommodation features a sofa, dining area and tea/coffee making facilities.	Во всех номерах есть диван, обеденная зона и принадлежности для чая/кофе.
Featuring free WiFi throughout the property, Odesos Guest House offers pet-friendly accommodation in Obzor.	Гостевой дом Odesos, в котором разрешено проживание с домашними животными, находится в городе Обзор. На всей территории предоставляется бесплатный Wi-Fi.
Situated 500 metres from Kalighat Temple, Hotel Aston International features a business centre, a restaurant and massage services.	Отель Aston International расположен в 500 метрах от храма Калигхат. В распоряжении гостей бизнес-центр, ресторан и бесплатный WiFi.
Copenhagen Kastrup Airport is 23 km away, while Malmö-Sturup Airport is 24 km from the hotel.	Расстояние до копенгагенского аэропорта Каструп составляет 23 км, а до аэропорта Мальме-Стуруп — 24 км.
You can enjoy garden view from the rooms.	Из окон открывается вид на сад.
George Best Belfast Airport is a 20-minute drive.	Дорога до аэропорта Белфаст-Сити им. Джорджа Беста потребует 20 минут.
The grounds of this 1920s farmhouse include a swimming pool, BBQ, bowling green and football pitch.	На территории этого фермерского дома постройки 1920-х годов размещаются плавательный бассейн, площадка для барбекю, дорожка для боулинга и футбольное поле.
There is a fully equipped kitchen. The bathroom comes with a shower and a toilet. Other facilities include electric heating.	В числе прочих удобств полностью оборудованная кухня, ванная комната с душем и туалетом, а также электрическое отопление.
B&B Nughe 'e' Oro is just 5 minutes' walk from Nuoro's restaurants and shops.	В 5 минутах ходьбы от отеля «типа постель и завтрак» Nughe 'e' Oro открыты рестораны и магазины.
Meeting facilities, laundry facilities, and free parking are included.	В числе прочих удобств помещения для совещаний, услуги прачечной и бесплатная парковка.
Centrally located in Plovdiv, Hotel Odeon offers colourfully designed accommodation just 50 metres from the Main Square and 150 metres away from the Roman Theatre Plovdiv.	Отель Odeon расположен всего в 50 метрах от главной площади и в 150 метрах от римского театра Пловдива.
Guests can enjoy a range of local cuisine in the Etxeberri’s restaurant, including fish and meat dishes.	В ресторане отеля Etxeberri вам предложат разнообразные кушанья местной кухни, в том числе блюда из рыбы и мяса.
Offering a restaurant and a garden, Agriturismo Belotti is located in Villa Dalegno, a 10-minute drive from Temù. Free WiFi access is available in all public areas.	Комплекс Agriturismo Belotti расположен в поселке Вилла-Даленьо, в 10 минутах езды от коммуны Тему. К услугам гостей ресторан, сад и бесплатный Wi-Fi в местах общего пользования.
Laundry and room service are available.	Предоставляются услуги прачечной, а также доставки еды и напитков в номер.
A fridge and kettle are also provided. There is also a kitchen in some of the units, fitted with an oven and microwave.	Во всех апартаментах есть холодильник и чайник, а в некоторых также обустроена кухня с духовкой и микроволновой печью.
Drinks and coffee are served by the poolside bar.	В работающем здесь баре можно заказать кофе и другие напитки.
Palm Garden Restaurant services Indonesian and international dishes at the hotel.	В ресторане Palm Garden подают блюда индонезийской и интернациональной кухни.
The units feature a bedroom, a TV, a kitchenette, and a bathroom fitted with a shower.	Во всех апартаментах в распоряжении гостей спальня, телевизор, мини-кухня и ванная комната с душем.
Hotel Imperial is located in Simferopol, 1.7 km from Simferopol’ and 39 km from Alushta.	Отель «Империал» находится в Симферополе, в 1,7 км от Симферополя и в 39 км от Алушты.
Daily maid service is available.	Предоставляются ежедневные услуги горничной.
Free private parking is available on site.	На территории обустроена бесплатная частная парковка.
Maniówka is located in a picturesque area, 400 metres from the Wigry National Park.	Гостевой дом Maniówka находится в живописной местности, в 400 метрах от национального парка Вигры.
There is a business centre, a kids' club and gift shop at the property.	В распоряжении гостей бизнес-центр, детский клуб и сувенирный магазин.
The Restaurant La Scala serves fine cuisine in either the dining room or outside on the terrace.	В ресторане La Scala можно отведать блюда изысканной кухни, которые подаются в обеденном зале или на открытой террасе.
Located near Jomtien Beach, Debonair Grande offers a spacious six-bedroom villa with private pool.	Просторная вилла Debonair Grande с 6 спальнями и частным бассейном находится недалеко от города Джомтьен Бич.
Spa services, including massage, can also be arranged.	По запросу в отеле проводят спа- и массажные процедуры.
Free WiFi and free private parking is available, as well as a lift.	К услугам гостей бесплатный Wi-Fi, лифт и бесплатная частная парковка.
Rooms at The Cosco are air conditioned and equipped with a minibar, a hairdryer and ironing facilities.	Номера отеля Cosco оборудованы кондиционером, мини-баром, феном и гладильными принадлежностями.
The first-floor Coffee Shop serves international buffet spreads.	В кафе на 2 этаже сервируют "шведский стол", состоящий из блюд интернациональной кухни.
All the rooms are equipped with a bathroom, TV and minibar.	Во всех номерах есть ванная комната, телевизор и мини-бар.
The city of Exeter is just 15 minutes’ drive away.	Город Эксетер находится всего в 15 минутах езды.
With an indoor swimming pool, in-room microwaves and refrigerators and an on-site restaurant, every stay at the Portland Airport Hilton Garden is sure to be pleasant.	Холодильник и микроволновая печь в номерах, крытый бассейн и ресторан обеспечат вам комфортное пребывание в отеле Portland Airport Hilton Garden.
A continental or Italian-style breakfast of hot drinks and croissants is available daily.	Каждое утро для гостей сервируют континентальный или итальянский завтрак с горячими напитками и круассанами.
Each has a private bathroom with toiletries and hairdryer.	В распоряжении гостей собственная ванная комната с туалетно-косметическими принадлежностями и феном.
Davras Skiing Centre is 26 km away.	Лыжный центр Davras находится в 26 км.
Ku De Ta is 1.7 km from Villa Meme Seminyak, while Petitenget Temple is 1.8 km from the property.	Ресторан Ku De Ta находится в 1,7 км от виллы Meme Seminyak, а храм Петитенгет — в 1,8 км.
The Klausberg ski area is a 7-minute drive from the apartments.	Горнолыжный курорт Клаусберг находится в 7 минутах езды от апартаментов.
Guests are welcome to use free of charge the swimming pool, as well as the sun beds and umbrellas, of the neighbouring hotel.	Гости могут бесплатно пользоваться бассейном, а также шезлонгами и зонтиками в соседнем отеле.
O.W. Relax is located in Krynica Morska, 450 metres from the beach on the Baltic Sea.	Курортный отель O.W. Relax находится в городе Крыница-Морска, в 450 метрах от берега Балтийского моря.
This property is 3 km from the seafront and 15 minutes’ walk from Playa Los Muertos Beach.	Виллы находятся в 3 км от моря и в 15 минутах ходьбы от пляжа Плайя-Лос-Муэртос.
