iмовірно	вероятно
сумніви	сомнение
сумно	грустно
суниця	земляника
супроводжувати	сопровождать
супутник	спутник
сусід	сосед
суспільство	общество
сутичка	столкновение
сутінки	сумерки
сутність	суть
сутність	существо
сутність	сущность
сучасник	современник
схил	склон
схід	восток
східний	восточный
сьогодні	сегодня
сьогоднішній	сегодняшний
сьомий	седьмой
сяяти	сиять
таблиці	столы
таблиця	стол
таємничий	таинственный
так	да
такий	таков
такий	такой
так	итак
так	настолько
також	также
таксі	такси
там	туда
танець	танец
танцювати	танцевать
тарілка	тарелка
тб	телевизор
тварина	животное
тварина	зверь
твір	произведение
творчий	творческий
творчість	творчество
текти	течь
темрява	темнота
теорія	теория
тепер	теперь
тепла	тепло
тертя	трение
техніка	техника
тиждень	неделя
тимчасовий	временный
тиск	давление
тисяча	тысяча
тіло	тело
тільки	только
тітка	тетка
тканина	ткань
товари	добро
товари	товар
тоді	затем
тоді	потом
той	то
той	тот
той	чтоб
тому	поэтому
торгівля	торговля
торговий	торговый
торкнути	коснуться
траплятися	случаться
третій	третий
тридцять	тридцать
три	трое
трохи	несколько
трошки	немножко
троянда	роза
труну	могила
трясти	пожать
туга	тоска
турбота	забота
турбуватися	беспокоиться
турбуватися	волноваться
тьма	темнота
тягар	груз
тягтися	тянуться
тягти	тянуть
тяжкість	тяжесть
увижається	мерещится
угода	соглашение
удвох	вдвоем
узбiччя	обочина
уздовж	вдоль
укласти	заключить
умова	условие
умови	обстановка
управляти	обойтись
управляти	суметь
урочистий	торжественный
уряд	правительство
уставился	уставиться
установа	учреждение
устаткування	оборудование
усунути	устранить
ухвалення	принятие
ухиляння	уклонение
учасник	участник
участь	участие
учень	ученик
уява	воображение
уявити	представить
уярмити	поработить
фарба	краска
фахівець	специалист
федерація	федерация
філія	отделение
фінансовий	финансовый
фіранки	шторы
фірма	фирма
фото	файл
фото	фотография
франція	франция
характерний	характерный
харчування	питание
хата	изба
хвiртка	калитка
хвилина	минута
хвиля	волна
хворий	больной
хвороба	заболевание
хибна	ошибочная
хист	умение
хіба	разве
хліб	хлеб
хлопчик	мальчик
хлопчик	мальчишка
хмара	туча
ховати	прятать
ховатися	прятаться
хода	поступь
ходити	гулять
холодної	холод
хотіти	захотеть
хотіти	хотеть
хто	кто
худоба	скот
художній	художественный
хуртовина	метель
хутко	быстро
цап	козёл
царина	область
царський	царский
цар	царь
цвинтар	кладбище
цвях	гвоздь
цегла	кирпич
цей	сея
цей	этот
це	оно
це	это
цибуля	лук
цивілізація	цивилизация
цікавість	любопытство
цікаво	интересно
ціна	цена
ціни	цены
цінність	ценность
цоколя	шапка
цуценя	щенок
чiльний	главный
чаї	чаи
чаклунство	колдовство
чарівний	волшебный
часопис	журнал
частка	доля
чекати	дожидаться
чепурне	нарядное
червень	июнь
черга	очередь
черговий	дежурный
черевик	ботинок
черевики	ботинки
четвертий	четвертый
чимало	немало
чинник	фактор
численний	многочисленный
читання	чтение
читати	прочитать
читач	читатель
чіпати	трогать
чкурнути	броситься
човен	лодка
чолах	лбы
чоловік	муж
чоловік	супруг
чоловічий	мужской
чому	отчего
чому	почему
чорний	чёрный
чортинець	ад
чотириста	четыреста
чотири	четыре
что-нибудь	нечто
чудовий	великолепный
чудовий	замечательный
чути	услышать
чутно	слышно
шалений	безумный
шар	слой
швидкість	скорость
швидко	быстро
шепіт	шепот
шибениця	виселица
шийок	шеи
шістдесят	шестьдесят
шістсот	шестьсот
шість	шесть
шкарпетки	носки
шкільний	школьный
шкіряний	кожаный
шкодувати	жалеть
шкоду	зло
шлунок	желудок
шлюб	брак
шляхів	пути
шляхом	путем
шлях	путь
шлях	способ
шматок	кусок
шматок	штука
шматочок	кусочек
шпалери	обои
штовхати	толкать
шукати	искать
шульга	левша
шуміти	шуметь
щиро	искренне
щілину	щель
щільний	плотный
щоб	позволять
щодо	касательно
щодо	относительно
що	какой
щорічно	ежегодно
щотижнева	еженедельная
що	что
щур	крыса
юнак	юноша
юний	юный
юрба	толпа
яблуко	яблоко
явище	явление
явний	явный
яйце	яйцо
який	какой
які	чему
як	как
якщо	если
я	мной
японська	японский
яр	овраг
яскраво	ярко
ясно	понятно
